number,date,title,length,inKey,tempo,topic,mood,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,spotify,itunes,bandcamp,tags
471,4/16/2010,Happy Birthday Jane Cowger!,1:58,D,140,Commission,SILLY,Berkeley,"ORGAN, PIANO, DRUMS",SHADOW,https://www.youtube.com/watch?v=EeYzcuNOOfg,,,,,,,,,"ROCK, CHEESY, BIRTHDAY"
472,4/17/2010,no(yes),1:59,C,78,Poetic,CHILL,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=5znuSaFhlz0,,,,,,,,,"FOLK, WISTFUL, DARK"
473,4/18/2010,The Smog Gets Thicker (redux),1:52,E,81,Poetic,PENSIVE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=-qVoLOVFDuc,,,,,,,,,"FOLK, WISTFUL, DREAMY, SOULFUL"
474,4/19/2010,Faithfully,3:02,C,119,Love,INTENSE,Berkeley,"ELECTRIC GUITAR, ACOUSTIC GUITAR",SHADOW,https://www.youtube.com/watch?v=-K0PHCzBzzQ,,,,,,,,,"ROCK, WISTFUL, LOOMING, SOULFUL"
475,4/20/2010,I Will Break Your Heart,2:53,E,104,Poetic,EXCITED,Berkeley,"ELECTRIC GUITAR, ACOUSTIC GUITAR, BASS, DRUMS",na,https://www.youtube.com/watch?v=uyOc9TdzXQU,,,,,,,,,"ROCK, HOPEFUL, DREAMY, CATCHY"
476,4/21/2010,The Casting Duo,2:56,C,102,TV,CHILL,Berkeley,"SYNTHS, ELECTRIC GUITAR, DRUM MACHINE",BEARD,https://www.youtube.com/watch?v=pAbbGTwHVqs,,,,,,,,,"ELECTRO, DISTORTION, CATCHY, "
477,4/22/2010,The Ending of the World,3:24,F#,89,Poetic,EXCITED,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",na,https://www.youtube.com/watch?v=KlXHjINm4B0,,,,,,,,,"FOLK, HOPEFUL, DREAMY, ANTHEM, CATCHY"
477a,4/22/2010,Donna Jesse Erin and Sam,2:31,F,112,TV,SILLY,Berkeley,"PIANO, ELECTRIC GUITAR, SYNTHS, BASS, DRUMS ",na,https://www.youtube.com/watch?v=_rqumVsKpjc,,,,,,,,,"ROCK, CHEESY, COMPANY"
478,4/23/2010,Roger Ebert is a (Brilliant) Grumpy Old Man,1:34,A#,94,TV,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=xA5j4kmoT4U,,,,,,,,,"ELECTRO, FUNNY, LIGHT, FAMOUS PERSON, ROGER EBERT"
479,4/24/2010,Say So,4:25,B,109,Friend,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=8MEfvpaBMbM,,,,,,,,,"ELECTRO, WISTFUL, NIC KAELIN"
480,4/25/2010,Go 'Way From Here,3:01,A,76,Poetic,TIRED,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=5_-rvqnUvW0,,,,,,,,,"FOLK, DELICATE, WISTFUL"
481,4/26/2010,The Writing Camp Anthem,2:42,C,101,Notice Me,SILLY,Berkeley,"PIANO, BASS, SYNTHS, DRUMS",BEARD,https://www.youtube.com/watch?v=7v6-v1tT5jY,,,,,,,,,"ELECTRO, CHEESY, ANTHEM, COMPANY, WRITING CAMP"
482,4/27/2010,Pandora's Box is Open,3:08,B,103,Poetic,BORED,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=D_jg1ZvHT-U,,,,,,,,,"FOLK, BAD, DELICATE"
483,4/28/2010,Feelings Are a Means of Production,2:24,D,120,Social Justice,CHILL,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=1gaVISIIGrU,,,,,,,,,"FOLK, SOUFUL, ECONOMY"
484,4/29/2010,Zeaxanthin and Lutein,1:01,B,71,Contest,SILLY,Berkeley,"PIANO, ORGAN, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=LoLlrHTigmA,,,,,,,,,"ROCK, CHEESY, FUN"
485,4/30/2010,Koko the intersex Horse,4:26,G,100,Animals,SILLY,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=Gx7FvhDcse4,,,,,,,,,"FOLK, ANIMAL, HORSE"
486,5/1/2010,Randy's House,1:44,C,108,Friend,SILLY,"Pensacola,FL",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=rvrVl1TIHiU,,,,,,,,,"FOLK, FUN"
487,5/2/2010,Here We Are,4:02,D#,97,Poetic,PENSIVE,"Pensacola,FL",ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=VI2FPrPQAWs,,,,,,,,,"FOLK, DELICATE, DREAMY"
488,5/3/2010,Two Steps to the Left Texas Style,2:02,C,115,Airport,SILLY,Berkeley,ELECTRIC GUITAR,SHADOW,https://www.youtube.com/watch?v=1h8nq4ada40,,,,,,,,,"COUNTRY, NARRATIVE, TEXAS"
489,5/4/2010,The Sad Little Porn Cassette,1:51,F,84,Sex,SAD,Berkeley,"PIANO, SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=WX9MEKwk5NA,,,,,,,,,"FOLK, CHEESY, PORN, VHS"
490,5/5/2010,Trying to Make Today Matter in the Same Way As Tomorrow,3:43,C,94,Poetic,PENSIVE,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=9Xrbyh4bj5k,,,,,,,,,"FOLK, DELICATE, IVORY"
491,5/6/2010,Cedar Properties,2:12,G,124,Notice Me,SILLY,Berkeley,PIANO,SHADOW,https://www.youtube.com/watch?v=tbwbHK6XvRI,,,,,,,,,"ROCK, CHEESY, CATCHY, COMPANY, CEDAR PROPERTIES"
492,5/7/2010,Cherrish,1:00,F,126,Commission,SILLY,Berkeley,"PIANO, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=JZ9iIlFZFkM,,,,,,,,,"ROCK, CHEESY, ANTHEM, Food, COMPANY, CHERRISH"
493,5/8/2010,Sleepy isaac on His 1st Birthday,2:56,D,110,Friend,CHILL,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=4fEJTJj7xxI,,,,,,,,,"FOLK, DELICATE, DREAMY"
494,5/9/2010,On the Wind,4:14,A,109,Poetic,PENSIVE,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=VqthpjEmIpA,,,,,,,,,"FOLK, DELICATE, MYTH"
495,5/10/2010,Do Your Best,1:39,C,128,Motivational,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=SYrWnqU_ZY8,,,,,,,,,"ELECTRO, ANTHEM, VOCODER, DISTORTION"
496,5/11/2010,I Want to Be Healthy With Life...Supplemented,2:08,D,112,Contest,SILLY,Berkeley,"ELECTRIC GUITAR, BASS, SYNTHS, DRUMS",CLEAN,https://www.youtube.com/watch?v=igGN56xi360,,,,,,,,,"ROCK, CHEESY, WISTFUL, HOPEFUL, COMPANY, LIFE SUPPLEMENTED"
497,5/12/2010,Rulemaking Matters: the Song!,1:30,D,145,Contest,SILLY,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",CLEAN,https://www.youtube.com/watch?v=Ehbn-5sXQ44,,,,,,,,,"ROCK, CHEESY, Politics, RULEMAKING"
498,5/13/2010,The Metromint Jingle,0:33,D,161,Contest,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",CLEAN,https://www.youtube.com/watch?v=pW1xWE7kYpU,,,,,,,,,"ELECTRO, FUN, DANCING, COMPANY, METROMINT"
499,5/14/2010,500 (five hundred),0:25,G#,165,Song A Day ,HAPPY,Berkeley,"ELECTRIC GUITAR, BASS, SYNTHS, DRUMS",CLEAN,https://www.youtube.com/watch?v=M8320hpP_wc,,,,,,,,,"ROCK, FUN, MILESTONE"
499a,5/14/2010,NYVS: the Jingle,0:37,D,87,Contest,SILLY,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",CLEAN,https://www.youtube.com/watch?v=8TdcXP-p6h8,,,,,,,,,"ELECTRO, FUN, DANCING, COMPANY, NYVS"
500,5/15/2010,Five Hundred and One,1:40,D,116,Song A Day ,BORED,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=U_FrDgOr2rc,,,,,,,,,"BLUES, ROUGH"
501,5/16/2010,Fire in the Sky,5:24,C,109,Poetic,PENSIVE,Berkeley,"ORGAN, BASS, DRUMS",na,https://www.youtube.com/watch?v=vf-M-5pWtAU,,,,,,,,,"ROCK, WISTFUL, SOULFUL"
502,5/17/2010,The Club Hopper vs. Dr. Boigenstein,1:01,G,150,Contest,SILLY,Berkeley,"ELECTRIC GUITAR, BASS, SYNTHS, DRUMS",SHADOW,https://www.youtube.com/watch?v=pICSoHScfHI,,,,,,,,,"ELECTRO, FUNNY, AUTOTUNE, COMPANY, JAWBONE"
503,5/18/2010,10 Billion,2:01,E,105,Contest,EXCITED,Berkeley,"ELECTRIC GUITAR, BASS, ACOUSTIC GUITAR, DRUMS",na,https://www.youtube.com/watch?v=nUGx506CVvM,,,,,,,,,"ROCK, FUN, ANTHEM, HOPEFUL"
504,5/19/2010,Fallen Heroes,1:32,C,77,Poetic,SILLY,Berkeley,"BASS, PIANO, DRUMS",CLEAN,https://www.youtube.com/watch?v=en7pbFV1VT0,,,,,,,,,"ROCK, WISTFUL, FUN, SOULFUL"
505,5/20/2010,FartHead,2:50,C,65,Poetic,BORED,Berkeley,UKULELE,SHADOW,https://www.youtube.com/watch?v=xkVsXsvj9ds,,,,,,,,,"FOLK, DELICATE, WISTFUL, SAD"
506,5/21/2010,Skinit.com,1:04,C,88,Contest,INTENSE,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=fev4Qt_5LzA,,,,,,,,,"ROCK, FUN, FUNNY, SILLY, COMPANY, SKINNIT.COM"
507,5/22/2010,The Body Sings,3:31,C#,106,Poetic,INTENSE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=d68LehAWziw,,,,,,,,,"FOLK, MYTH, SOULFUL"
508,5/23/2010,The End is Coming,2:54,D#,69,Life,SAD,Berkeley,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=Zp5XMfdjwB0,,,,,,,,,"FOLK, HEAVY, APOCALYPSE"
509,5/24/2010,Nothing's Strange,1:01,F,169,Poetic,PENSIVE,Berkeley,"PIANO, SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=LFHTvfz_axY,,,,,,,,,"ROCK, DISTORTION, MYTH, TIME"
510,5/25/2010,Ryeberg,1:55,F,82,Friend,EXCITED,Berkeley,"ELECTRIC GUITAR, BASS, DRUMS",CLEAN,https://www.youtube.com/watch?v=400u4MUNih4,,,,,,,,,"ROCK, SOULFUL, COMPANY, RYEBERG.COM"
511,5/26/2010,On My Street,0:55,B,113,Life,SILLY,Berkeley,"FAKE HORNS, BEATBOXING",na,https://www.youtube.com/watch?v=4vD5-oie0y4,,,,,,,,,"ROCK, FUNNY"
512,5/27/2010,Save Yourself,3:21,F,75,Poetic,SAD,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=WCSLZq5K1iU,,,,,,,,,"ELECTRO, VOCODER, DISTORTION"
513,5/28/2010,Impossible,2:17,F,64,Poetic,PENSIVE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=xfRRFo_5Jhc,,,,,,,,,"ELECTRO, VOCODER, DISTORTION"
514,5/29/2010,Outerspace,4:08,D#,100,Improv,SAD,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=qzLg_wyGlwY,,,,,,,,,"FOLK, WISTFUL, SPACE"
515,5/30/2010,Apple or Orange,0:50,,,Food,PENSIVE,Berkeley,VOCALS,SHADOW,https://www.youtube.com/watch?v=3UVZME_r_Y4,,,,,,,,,"ACAPELLA, LIGHT, FUNNY, APPLES, ORANGES"
516,5/31/2010,Vitamin D,0:29,C,90,PSA,CHILL,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=3-YtXLe0O4o,,,,,,,,,"ELECTRO, DELICATE, EDUCATIONAL"
517,6/1/2010,Father's Day With Groupon,1:10,D,67,Commission,SILLY,Berkeley,"PIANO, BASS, DRUMS ",SHADOW,https://www.youtube.com/watch?v=alXsjSscLtk,,,,,,,,,"ROCK, CHEESY, FATHERS DAY"
518,6/2/2010,I Didn't Like It (And That's Why I Didn't Put a Ring on It),0:57,C,89,Pop Culture,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=iY_P-90dDPI,,,,,,,,,"ELECTRO, LIGHT, FUNNY, AUTOTUNE"
519,6/3/2010,Remember When I Said That I Wanted An iPad,1:28,A#,137,Apple,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=aWvv-7bcqx4,,,,,,,,,"ELECTRO, LIGHT, FUNNY, AUTOTUNE"
520,6/4/2010,Everything is Digital,3:20,C,107,Poetic,PENSIVE,Berkeley,"ELECTRIC GUITAR, SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=Gd2rL_psHNs,,,,,,,,,"ROCK, DREAMY, DARK"
521,6/5/2010,ShortCake,0:19,,,Food,SILLY,Berkeley,VOCALS,na,https://www.youtube.com/watch?v=vuVjjEojwOo,,,,,,,,,ACAPELLA
522,6/6/2010,Sunday Evening,2:37,A,74,Poetic,PENSIVE,Berkeley,"ELECTRIC GUITAR, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=LIi5u_SWqg8,,,,,,,,,"ROCK, DARK, LOOMING, TIME"
523,6/7/2010,Tuppy Figueroa,2:19,G#,100,Instrumental,INTENSE,Berkeley,"ELECTRIC GUITAR, BASS, DRUMS",na,https://www.youtube.com/watch?v=IbN0xqyKRxI,,,,,,,,,"ROCK, DARK, WISTFUL"
524,6/8/2010,This is Today's Song,1:07,F,117,Song A Day ,BORED,Berkeley,"PIANO, ELECTRIC GUITAR, SAMPLES, DRUMS",na,https://www.youtube.com/watch?v=7x_k2ioUdOM,,,,,,,,,"ROCK, FUN, FUNNY, SOULFUL"
525,6/9/2010,We're Jews That Don't Care About Money,0:40,,,Friend,SILLY,Berkeley,"ELECTRIC GUITAR, PIANO, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=ZgEehpu5D2c,,,,,,,,,"ROCK, SILLY, FUNNY, SAM STERN, JEWISH"
526,6/10/2010,Jew Wario at E3,,E,116,Video Games,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=z1BetnCAx3c,,,,,,,,,"ELECTRO, BAD, AUTOTUNE"
527,6/11/2010,The Mermaid of Time,2:44,C,118,Poetic,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=yJy6hZxcZzQ,,,,,,,,,"ELECTRO, DARK, DREAMY, SOULFUL, 80s, AUTOTUNE"
528,6/12/2010,I Love Bocce Ball,0:24,C,161,Sports,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=IwqFzX5ky10,,,,,,,,,"ELECTRO, FUN, BOCCE"
529,6/13/2010,Honda Civic: It'll Get You There,1:44,G,125,Contest,SILLY,Berkeley,"PIANO, BASS, ORGAN, DRUMS",CLEAN,https://www.youtube.com/watch?v=dz_idhAC1dI,,,,,,,,,"ROCK, BAD, SILLY, COMPANY, HONDA"
530,6/14/2010,One Minute Autobiography in Song,1:04,D,153,Life,SILLY,Berkeley,"ELECTRIC GUITAR, BASS, DRUM MACHINE",na,https://www.youtube.com/watch?v=p3IUI_eMeQw,,,,,,,,,"ROCK, FUN, FUNNY, SOULFUL"
531,6/15/2010,Wrong Way,1:09,D,65,Poetic,SAD,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=qgkNWGb1b40,,,,,,,,,"ACAPELLA, VOCODER, HEAVY, LOOMING"
532,6/16/2010,A Boy From Rural Kentucky and His Fire Breathing Cat,2:39,F,120,Animals,CHILL,Berkeley,"ELECTRIC GUITAR, SYNTHS, BASS, DRUM MACHINE",na,https://www.youtube.com/watch?v=RHQMapzKj4c,,,,,,,,,"ROCK, DARK, CATS, KENTUCKY"
533,6/17/2010,I Want to Boogie With You,3:14,F,108,Love,EXCITED,Berkeley,"SYNTHS, DRUM MACHINE",CLEAN,https://www.youtube.com/watch?v=jyg0IlBkW7A,,,,,,,,,"ELECTRO, DARK, DREAMY, DANCING"
534,6/18/2010,Simply Dissonant,0:47,D (?),121,Music,INTENSE,Berkeley,"PIANO, SYNTHS, DRUMS",na,https://www.youtube.com/watch?v=rIfhCVGQ1WE,,,,,,,,,"JAZZ, DISSONANT, SILLY, SCARY"
535,6/19/2010,A Short Song About Nothing in Particular,1:55,D,114,Song A Day ,BORED,Berkeley,"PIANO, SYNTHS, DRUMS",CLEAN,https://www.youtube.com/watch?v=sDfbpOVpd44,,,,,,,,,"ROCK, CATCHY, ANTHEM, WISTFUL"
536,6/20/2010,I Like It When My Friends Eat the Things I Bake,0:44,C,137,Food,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=Zp5XMfdjwB0,,,,,,,,,"ELECTRO, DISTORTION, VOCODER, CATCHY, FRIENDS, CINNAMON ROLLS"
537,6/21/2010,Mr. Everyman Pirate Packs a Car,1:30,D,144,Contest,SILLY,Berkeley,"ELECTRIC GUITAR, PIANO, BASS, DRUMS",SHADOW,https://www.youtube.com/watch?v=50R5qPDSXF0,,,,,,,,,"ROCK, HIP HOP, FUNNY, COMPANY, KLONDIKE"
538,6/22/2010,Destruction,2:16,A,61,Instrumental,CHILL,Berkeley,SYNTHS,na,https://www.youtube.com/watch?v=ycymG_VFwjM,,,,,,,,,"AMBIENT, DREAMY"
539,6/23/2010,Jonathan's New Ringtone,0:41,E,115,Life,CHILL,Berkeley,"SYNTHS, ELECTRIC GUITAR, DRUM MACHINE",CLEAN,https://www.youtube.com/watch?v=yE07lL0wyZs,,,,,,,,,"ROCK, FUN"
540,6/24/2010,Steve Jobs' Head,5:45,F,111,Apple,CONFUSED,Berkeley,"ELECTRIC GUITAR, BASS, DRUMS",na,https://www.youtube.com/watch?v=YLrSqwFrfmU,,,,,,,,,"ROCK, FUN, MELODY"
541,6/25/2010,I Wanna Be a Gastropod Mollusc,1:23,D,71,Animals,CHILL,Berkeley,"ELECTRIC GUITAR, DRUM MACHINE",na,https://www.youtube.com/watch?v=DQQarmUOGZ0,,,,,,,,,"ROCK, Life, FUN, SLUG"
542,6/26/2010,Let's Get Along,2:10,E,121,Poetic,CHILL,Berkeley,ACOUSTIC GUITAR,CLEAN,https://www.youtube.com/watch?v=4K6M1OsiKQo,,,,,,,,,"FOLK, HOPEFUL"
543,6/27/2010,And He Kissed Her,0:32,F,120,Contest,SILLY,Berkeley,"ELECTRIC GUITAR, BASS, DRUMS ",CLEAN,https://www.youtube.com/watch?v=s3awtOJbDVQ,,,,,,,,,"ROCK, CHEESY, COMPANY, COCA COLA"
544,6/28/2010,Shake Weight Jingle,1:03,F,102,Contest,SILLY,Berkeley,"ORGAN, ELECTRIC GUITAR, HORNS, DRUMS",CLEAN,https://www.youtube.com/watch?v=XSGXO7FFE6I,,,,,,,,,"ROCK, CHEESY, COMPANY, SHAKE WEIGHT"
545,6/29/2010,Tap-N-Give,1:39,F,95,Contest,CHILL,Berkeley,"PIANO, ELECTRIC GUITAR, DRUMS",CLEAN,https://www.youtube.com/watch?v=zWXwv1f0rnk,,,,,,,,,"ROCK, CHEESY, COMPANY, TAP-N-GIVE"
546,6/30/2010,Let's All Take a Trip,2:07,E,96,Poetic,CHILL,Berkeley,BARITONE UKE,CLEAN,https://www.youtube.com/watch?v=Prj3M6orm8U,,,,,,,,,"FOLK, DRIVING, LIGHT"
547,7/1/2010,Bones Come to Life,2:38,B,93,Poetic,SAD,Los Angeles,BARITONE UKE,CLEAN,https://www.youtube.com/watch?v=scs0RcMavms,,,,,,,,,"FOLK, DARK, DREAMY"
548,7/2/2010,You Are Defined By the People Around You,2:12,G#,55,Poetic,PENSIVE,"Maui, HI",BARITONE UKE,CLEAN,https://www.youtube.com/watch?v=ZZpfTxByUy0,,,,,,,,,"FOLK, DELICATE "
549,7/3/2010,Gonna Go Downtown Tonight,2:11,C,120,Poetic,HAPPY,"Maui, HI",BARITONE UKE,CLEAN,https://www.youtube.com/watch?v=ALlTV9Nbzik,,,,,,,,,"FOLK, DELICATE, FUN"
550,7/4/2010,Me and Ram Dass in a Virtual Photo Booth,1:15,B,85,Life,CHILL,"Maui, HI",BARITONE UKE,CLEAN,https://www.youtube.com/watch?v=jZJj4bmUeiQ,,,,,,,,,"FOLK, FUN, FAMOUS PERSON, RAM DASS"
551,7/5/2010,The Feeling God,4:13,B,87,Poetic,PENSIVE,"Maui, HI",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=fEejK_qRfKk,,,,,,,,,"FOLK, MYTH, SOULFUL"
552,7/6/2010,When Natasha Comes to Town,3:45,B,91,Grandma,HAPPY,"Maui, HI",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=X_fcHk2W1zI,,,,,,,,,"FOLK, LIGHT, FUNNY, BIRTHDAY"
553,7/7/2010,Feel the Weight,3:47,F#,107,Poetic,TIRED,"Maui, HI",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=3v6zDxLgwe4,,,,,,,,,"FOLK, DRIVING"
554,7/8/2010,Ceiling Fan,1:26,C#,82,Objects,TIRED,"Maui, HI",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=6jWnZBpyuTU,,,,,,,,,"FOLK, WISTFUL, SILLY"
555,7/9/2010,Nowhere I Ought to Be,2:24,D#,111,Poetic,CHILL,"Maui, HI",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=TxSH5FnlLY4,,,,,,,,,"FOLK, WISTFUL"
556,7/10/2010,You Love Me the Same Way,2:20,F,89,Love,CHILL,"Maui, HI",BARITONE UKE,SHADOW,https://www.youtube.com/watch?v=yn1_wl1cIUY,,,,,,,,,"FOLK, WISTFUL"
557,7/11/2010,Someday I'm Gonna Be Cool Like That,2:29,D,114,Poetic,TIRED,Los Angeles,BARITONE UKE,BEARD,https://www.youtube.com/watch?v=m4ZSPtarsCo,,,,,,,,,"FOLK, WISTFUL"
558,7/12/2010,When the Sun Goes Down,3:05,G,99,Poetic,SAD,Los Angeles,BARITONE UKE,BEARD,https://www.youtube.com/watch?v=d0vToY0Rz7E,,,,,,,,,"BLUES, DARK"
559,7/13/2010,Who You Gonna Be Today?,3:05,G,99,Poetic,TIRED,Los Angeles,BARITONE UKE,BEARD,https://www.youtube.com/watch?v=1WzVT_-_8DU,,,,,,,,,"FOLK, LOOMING, DARK"
560,7/14/2010,The Little Man,2:14,A,119,Poetic,INTENSE,Berkeley,ACOUSTIC GUITAR,BEARD,https://www.youtube.com/watch?v=SSBVw0DbpOQ,,,,,,,,,"FOLK, LOOMING, DARK, MYTH"
561,7/15/2010,The iPhone 4 Antenna Song,2:01,F,80,Apple,INTENSE,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",GOATEE,https://www.youtube.com/watch?v=VKIcaejkpD4,,,,,,,,,"ROCK, CATCHY, FUN, ANTHEM, VOCODER, iPHONE 4, VIRAL"
562,7/16/2010,Steve Jobs,3:10,F,79,Apple,SAD,Berkeley,"SYNTHS, DRUM MACHINE",GOATEE,https://www.youtube.com/watch?v=i_qWXTuzVxE,,,,,,,,,"ROCK, HEAVY, LOOMING, DARK, FAMOUS PERSON, STEVE JOBS"
563,7/17/2010,The Feeling God,4:00,G,79,Poetic,PENSIVE,Berkeley,"ELECTRIC GUITAR, ORGAN, BASS, DRUMS",GOATEE,https://www.youtube.com/watch?v=DGgDMB8B3Wg,,,,,,,,,"FOLK, MYTH, SOULFUL"
564,7/18/2010,Hello My Old Heart,2:52,C,76,Love,SAD,Berkeley,"ACOUSTIC GUITAR, BASS, DRUMS",na,https://www.youtube.com/watch?v=pJKOP0Y3ZJs,,,,,,,,,"ROCK, WISTFUL, SAD, SOULFUL"
565,7/19/2010,I Wanna Be Friends With Stephen Fry,1:55,C,109,Nerd,HAPPY,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",GOATEE,https://www.youtube.com/watch?v=lUvItTMxNrk,,,,,,,,,"ROCK, CHEESY, BAD, FAMOUS PERSON, STEPHEN FRY"
566,7/20/2010,I Got a Root Canal,1:33,C,129,Life,SILLY,Berkeley,"SYNTHS, DRUM MACHINE",GOATEE,https://www.youtube.com/watch?v=7peAqlkbCYk,,,,,,,,,"ELECTRO, VOCODER, DENTIST"
567,7/21/2010,I Wish That There Were More Thunder Storms,2:58,E,91,Weather,SAD,Berkeley,"PIANO, SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=X21BO7aaXfM,,,,,,,,,"ELECTRO, VOCODER, DISTORTION, SMOOTH"
568,7/22/2010,Turkeys in the Woods,1:26,D,108,Animals,EXCITED,Berkeley,"PIANO, SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=Sc1hYFPE6P0,,,,,,,,,"ELECTRO, Animals, TURKEYS, SMOOTH"
569,7/23/2010,"Purple Smoothie, Purple Shirt",2:21,A,141,Food,INTENSE,Berkeley,"SYNTHS, DRUM MACHINE",GOATEE,https://www.youtube.com/watch?v=pyZCRb5tCCE,,,,,,,,,"ELECTRO, CATCHY, SMOOTHIE"
570,7/24/2010,How I Write a Song a Day,3:50,F,94,Song A Day ,SILLY,Berkeley,"PIANO, BASS, SYNTHS, DRUMS",GOATEE,https://www.youtube.com/watch?v=tFJzK-U1OGs,,,,,,,,,"ROCK, LIGHT, Life, FUN"
571,7/25/2010,The Red Dead Redemption Song,3:01,A,101,Video Games,INTENSE,Berkeley,"ELECTRIC GUITAR, BASS, DRUMS",na,https://www.youtube.com/watch?v=zDY4-3UGZAo,,,,,,,,,"COUNTRY, DARK, HEAVY, LOOMING"
572,7/26/2010,Polly is a Lovely Whale,0:53,F,128,Animals,HAPPY,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=5J0fWatMmCs,,,,,,,,,"ELECTRO, LIGHT, FUN, VOCODER, WHALE"
573,7/27/2010,"Short Song, Long Song",1:08,C,115,Song A Day ,EXCITED,Berkeley,"SYNTHS, DRUM MACHINE",na,https://www.youtube.com/watch?v=T1jECIcDu3I,,,,,,,,,"ELECTRO, LIGHT, VOCODER"
574,7/28/2010,Put Me Back Together and I Make No Sense,2:59,C,75,Poetic,SAD,Los Angeles,ACOUSTIC GUITAR,GOATEE,https://www.youtube.com/watch?v=Z15QawVjZCU,,,,,,,,,"FOLK, DARK, LOOMING"
575,7/29/2010,"Happy Birthday, Tokie",2:21,G,76,Friend,HAPPY,Los Angeles,ACOUSTIC GUITAR,na,https://www.youtube.com/watch?v=FWmiQh0_9nE,,,,,,,,,"FOLK, LIGHT, BIRTHDAY, SILLY"
576,7/30/2010,Until the Fire Came,3:19,E,56,Poetic,CHILL,Berkeley,ACOUSTIC GUITAR,GOATEE,https://www.youtube.com/watch?v=83MbM91AK2c,,,,,,,,,"FOLK, DARK, LOOMING"
577,7/31/2010,5000 Subscribers,0:51,C,104,Song A Day ,TIRED,Berkeley,"SYNTHS, DRUM MACHINE",GOATEE,https://www.youtube.com/watch?v=pR6W7Mypopg,,,,,,,,,"ELECTRO, SILLY, VOCODER"
